colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
1556356307.791455738,1556356307.789556496,1556356307.798310648,
1556356307.858616106,1556356307.856288902,1556356307.848310352,
1556356307.892164223,1556356307.889657967,1556356307.898318993,
1556356307.959229939,1556356307.956393711,1556356307.948313250,
1556356307.992745869,1556356307.989762775,1556356307.998310049,
1556356308.059777729,1556356308.056500666,1556356308.048310077,
1556356308.093293898,1556356308.089837543,1556356308.098316666,
1556356308.160490267,1556356308.156608574,1556356308.148311090,
1556356308.194023125,1556356308.189977638,1556356308.198507881,
1556356308.261168949,1556356308.256716721,1556356308.248308987,
1556356308.294836514,1556356308.290085546,1556356308.298316511,
1556356308.362391464,1556356308.356830589,1556356308.348309532,
1556356308.395907394,1556356308.390199654,1556356308.398316569,
1556356308.462939493,1556356308.456949226,1556356308.448333290,
1556356308.496455423,1556356308.490282051,1556356308.498313265,
1556356308.563487522,1556356308.557020180,1556356308.548320077,
1556356308.597003452,1556356308.590389721,1556356308.598310952,
1556356308.663768761,1556356308.657128803,1556356308.648310901,
1556356308.696649544,1556356308.690497868,1556356308.698313318,
1556356308.763681643,1556356308.757237904,1556356308.748309134,
1556356308.797107927,1556356308.790606968,1556356308.798390380,
1556356308.864139788,1556356308.857343904,1556356308.848309460,
1556356308.897655956,1556356308.890713923,1556356308.898548478,
1556356308.964687817,1556356308.957451813,1556356308.948921055,
1556356308.999180786,1556356308.990822069,1556356308.998311465,
1556356309.067071907,1556356309.057561867,1556356309.048308342,
1556356309.100588076,1556356309.090970509,1556356309.098352519,
1556356309.167091839,1556356309.157709591,1556356309.148311396,
1556356309.200607769,1556356309.191092484,1556356309.198327357,
1556356309.267639868,1556356309.257830374,1556356309.248384153,
1556356309.301155798,1556356309.291200392,1556356309.298327243,
1556356309.368010513,1556356309.357899420,1556356309.348314537,
1556356309.401526443,1556356309.391268484,1556356309.398314708,
1556356309.435042374,1556356309.458041422,1556356309.449668661,
1556356309.535590403,1556356309.558115475,1556356309.548327977,
1556356309.602215998,1556356309.591474525,1556356309.598321521,
1556356309.668686859,1556356309.658208124,1556356309.648332103,
1556356309.702764027,1556356309.691522829,1556356309.698361776,
1556356309.736279957,1556356309.758312933,1556356309.748401251,
1556356309.803307764,1556356309.791681759,1556356309.798318681,
1556356309.836827986,1556356309.858461134,1556356309.848310603,
1556356309.903860085,1556356309.891793243,1556356309.898321636,
1556356309.937376015,1556356309.958486073,1556356309.948318291,
1556356310.004303448,1556356309.991848461,1556356309.998404764,
1556356310.037819616,1556356310.058586590,1556356310.048348103,
1556356310.104608290,1556356310.091953985,1556356310.098340064,
1556356310.138367645,1556356310.158694498,1556356310.148408529,
1556356310.204540722,1556356310.192063562,1556356310.198407259,
1556356310.237563126,1556356310.258802406,1556356310.248310299,
1556356310.304529182,1556356310.292177908,1556356310.298333181,
1556356310.338045113,1556356310.358903400,1556356310.348339713,
1556356310.405074350,1556356310.392265074,1556356310.398315735,
1556356310.438590281,1556356310.459002487,1556356310.448310403,
1556356310.505625240,1556356310.492372505,1556356310.498316611,
1556356310.539141171,1556356310.559110395,1556356310.548328471,
1556356310.606308214,1556356310.592479460,1556356310.598758643,
1556356310.639824144,1556356310.659219019,1556356310.648313514,
1556356310.706856243,1556356310.692601196,1556356310.698341417,
1556356310.740372173,1556356310.759326927,1556356310.748317314,
1556356310.807266228,1556356310.792690031,1556356310.798400270,
1556356310.840747349,1556356310.859425537,1556356310.848350035,
1556356310.907771103,1556356310.892795555,1556356310.898336379,
1556356310.941287271,1556356310.959536068,1556356310.948362568,
1556356311.008319132,1556356310.992905132,1556356310.998341526,
1556356311.041767590,1556356311.059643976,1556356311.048332501,
1556356311.108867161,1556356311.093013041,1556356311.098357215,
1556356311.142383091,1556356311.159724943,1556356311.148314009,
1556356311.209419243,1556356311.193093769,1556356311.198364805,
1556356311.242942326,1556356311.259831898,1556356311.248309909,
1556356311.309974424,1556356311.293177597,1556356311.298356105,
1556356311.343585484,1556356311.359935991,1556356311.348333575,
1556356311.410617582,1556356311.393305056,1556356311.398357845,
1556356311.444038383,1556356311.460044138,1556356311.448322362,
1556356311.510957949,1556356311.493412964,1556356311.498313077,
1556356311.544452660,1556356311.560135118,1556356311.548334863,
1556356311.611430876,1556356311.593504183,1556356311.598340104,
1556356311.644941561,1556356311.660235397,1556356311.650542690,
1556356311.711973421,1556356311.693601839,1556356311.698338685,
1556356311.745489590,1556356311.760339729,1556356311.748364743,
1556356311.779011003,1556356311.793712370,1556356311.798347518,
1556356311.846096746,1556356311.860447876,1556356311.848326357,
1556356311.879727594,1556356311.893816940,1556356311.898648114,
1556356311.946764462,1556356311.960536711,1556356311.948310846,
1556356311.980283253,1556356311.993928425,1556356311.998313171,
1556356312.047547571,1556356312.060677521,1556356312.048546438,
1556356312.081332914,1556356312.094073050,1556356312.099206504,
1556356312.148364775,1556356312.160811178,1556356312.148321351,
1556356312.181880705,1556356312.194180243,1556356312.198319709,
1556356312.248912804,1556356312.260935776,1556356312.248317030,
1556356312.282204620,1556356312.294304840,1556356312.298316736,
1556356312.348956577,1556356312.360970013,1556356312.348311492,
1556356312.382287018,1556356312.394323580,1556356312.398309637,
1556356312.449301712,1556356312.461051456,1556356312.448310167,
1556356312.482817642,1556356312.494421474,1556356312.498316174,
1556356312.549849741,1556356312.561152927,1556356312.548311715,
1556356312.583353035,1556356312.594507210,1556356312.598318689,
1556356312.650397770,1556356312.661246292,1556356312.648312901,
1556356312.683913700,1556356312.694612734,1556356312.698308552,
1556356312.750962965,1556356312.761344425,1556356312.748336697,
1556356312.784479134,1556356312.794713490,1556356312.798307891,
1556356312.851480953,1556356312.861428015,1556356312.848308653,
1556356312.884997122,1556356312.894798033,1556356312.898319847,
1556356312.951987497,1556356312.961536161,1556356312.948308799,
1556356312.985483877,1556356312.994904987,1556356312.998344553,
1556356313.052492373,1556356313.061645977,1556356313.048308694,
1556356313.086017363,1556356313.095015041,1556356313.098316594,
1556356313.153049461,1556356313.161839001,1556356313.148307969,
1556356313.186568968,1556356313.195208065,1556356313.198326230,
1556356313.253611795,1556356313.262196772,1556356313.248312481,
1556356313.287116997,1556356313.295566790,1556356313.298316566,
1556356313.354145519,1556356313.362307064,1556356313.348311564,
1556356313.387661449,1556356313.395676128,1556356313.398320460,
1556356313.454680912,1556356313.462359659,1556356313.448308610,
1556356313.488196842,1556356313.495728724,1556356313.498311260,
1556356313.555222980,1556356313.562282316,1556356313.548301771,
1556356313.588717215,1556356313.595546238,1556356313.598310973,
1556356313.655749075,1556356313.662260286,1556356313.648308614,
1556356313.689265244,1556356313.695654385,1556356313.698319862,
1556356313.756297104,1556356313.762368195,1556356313.748311344,
1556356313.789813272,1556356313.795737259,1556356313.798322245,
1556356313.856845133,1556356313.862500422,1556356313.848311781,
1556356313.890528433,1556356313.895900003,1556356313.898334376,
1556356313.957692139,1556356313.962608330,1556356313.948309426,
1556356313.991208069,1556356313.996008150,1556356313.998371163,
1556356314.058240168,1556356314.062910788,1556356314.048311917,
1556356314.091756098,1556356314.096390001,1556356314.098313989,
1556356314.158751719,1556356314.163128130,1556356314.148310302,
1556356314.192211620,1556356314.197032206,1556356314.198350471,
1556356314.259204618,1556356314.263236038,1556356314.248309631,
1556356314.292591803,1556356314.297140352,1556356314.298323112,
1556356314.359623663,1556356314.363343946,1556356314.348310284,
1556356314.393010370,1556356314.396603815,1556356314.398324548,
1556356314.460027449,1556356314.463450901,1556356314.448308308,
1556356314.493543617,1556356314.497443192,1556356314.498311868,
1556356314.560575478,1556356314.563559048,1556356314.548313048,
1556356314.594106428,1556356314.597156517,1556356314.598326430,
1556356314.661177151,1556356314.664289228,1556356314.648310252,
1556356314.694906466,1556356314.697264425,1556356314.698980539,
1556356314.761938564,1556356314.764418833,1556356314.748308239,
1556356314.795454494,1556356314.797724001,1556356314.798743076,
1556356314.862486593,1556356314.864418261,1556356314.848308713,
1556356314.896002523,1556356314.897788279,1556356314.898322219,
1556356314.962891571,1556356314.964218370,1556356314.948309683,
1556356314.996407501,1556356314.997409336,1556356314.998318770,
1556356315.063439600,1556356315.064015142,1556356315.048309773,
1556356315.096955530,1556356315.097179644,1556356315.098926321,
1556356315.163971893,1556356315.163828127,1556356315.148310090,
1556356315.197487823,1556356315.197197191,1556356315.198326540,
1556356315.231019489,1556356315.230566017,1556356315.248310845,
colorstamp,depthstamp,irstamp,gtstamp
1556356198.434092991,1556356198.444287054,1556356198.435591247
1556356198.467278473,1556356198.477656118,1556356198.485210462
1556356198.534310333,1556356198.544432871,1556356198.535222104
1556356198.567826502,1556356198.577801935,1556356198.585210974
1556356198.634858362,1556356198.644556753,1556356198.635251685
1556356198.668448679,1556356198.677925579,1556356198.685209638
1556356198.735480539,1556356198.744663708,1556356198.735323309
1556356198.769052498,1556356198.778013460,1556356198.785209135
1556356198.836136810,1556356198.844747774,1556356198.835220022
1556356198.869652740,1556356198.878027431,1556356198.885209365
1556356198.936890594,1556356198.944766514,1556356198.935210982
1556356198.970406525,1556356198.978137247,1556356198.985210984
1556356199.037342541,1556356199.044876329,1556356199.035212853
1556356199.070751421,1556356199.078243486,1556356199.085262769
1556356199.137890570,1556356199.144983284,1556356199.135220926
1556356199.171406500,1556356199.178358547,1556356199.185212313
1556356199.238361589,1556356199.245113604,1556356199.235208514
1556356199.271877758,1556356199.278486244,1556356199.285215480
1556356199.338909618,1556356199.345227472,1556356199.335212904
1556356199.372425787,1556356199.378600828,1556356199.385208333
1556356199.439427368,1556356199.445427172,1556356199.435209966
1556356199.472973816,1556356199.478796236,1556356199.485208593
1556356199.540005676,1556356199.545534126,1556356199.535209338
1556356199.573521606,1556356199.578904144,1556356199.585212104
1556356199.640473835,1556356199.645642273,1556356199.635212412
1556356199.673989765,1556356199.678901903,1556356199.685209490
1556356199.740992062,1556356199.745637171,1556356199.735209029
1556356199.774507992,1556356199.778996698,1556356199.785211078
1556356199.841432087,1556356199.845727674,1556356199.835208838
1556356199.874936335,1556356199.879081242,1556356199.885676353
1556356199.941968433,1556356199.945834629,1556356199.935215342
1556356199.975475780,1556356199.979212753,1556356199.985262923
1556356200.042516462,1556356200.045960180,1556356200.035210241
1556356200.076032393,1556356200.079371922,1556356200.085219310
1556356200.143028967,1556356200.146399014,1556356200.135209061
1556356200.176548950,1556356200.179930679,1556356200.185209739
1556356200.243715994,1556356200.247078888,1556356200.235234312
1556356200.277260534,1556356200.280651323,1556356200.285253365
1556356200.344310514,1556356200.347389214,1556356200.335219431
1556356200.377826445,1556356200.380759232,1556356200.385267102
1556356200.444858543,1556356200.447293989,1556356200.436048651
1556356200.478374474,1556356200.480253689,1556356200.485221809
1556356200.545374624,1556356200.546665661,1556356200.535247574
1556356200.578869574,1556356200.579979412,1556356200.585257269
1556356200.645901672,1556356200.646709196,1556356200.635209412
1556356200.679380409,1556356200.680078260,1556356200.685372519
1556356200.746344559,1556356200.746721975,1556356200.735210947
1556356200.779740326,1556356200.780040257,1556356200.785214867
1556356200.846707098,1556356200.846769087,1556356200.835221401
1556356200.880223028,1556356200.880138151,1556356200.885638065
1556356200.947266333,1556356200.946856730,1556356200.935210822
1556356200.980782501,1556356200.980225794,1556356200.985214210
1556356201.047988407,1556356201.046964876,1556356201.035211993
1556356201.081572525,1556356201.080325596,1556356201.085210043
1556356201.148741238,1556356201.147024147,1556356201.135208883
1556356201.182287685,1556356201.180394165,1556356201.185210028
1556356201.249676220,1556356201.247132055,1556356201.235208281
1556356201.283257000,1556356201.280501120,1556356201.285217748
1556356201.350643866,1556356201.347248547,1556356201.335232509
1556356201.450973265,1556356201.447356455,1556356201.435232247
1556356201.484489195,1556356201.480725519,1556356201.485220576
1556356201.551473610,1556356201.547455065,1556356201.535250022
1556356201.585037224,1556356201.580824606,1556356201.585637617
1556356201.652069323,1556356201.647529833,1556356201.635208749
1556356201.685585253,1556356201.680898659,1556356201.685212639
1556356201.752827875,1556356201.747633211,1556356201.735210610
1556356201.786344044,1556356201.781002275,1556356201.785229087
1556356201.853383772,1556356201.847740643,1556356201.835211837
1556356201.886892073,1556356201.881110184,1556356201.885221312
1556356201.953917257,1556356201.947847836,1556356201.935216367
1556356201.987433426,1556356201.981217615,1556356201.985211700
1556356202.020949356,1556356202.014586679,1556356202.035210440
1556356202.087317698,1556356202.081324808,1556356202.085212988
1556356202.120800488,1556356202.114673607,1556356202.135213104
1556356202.187606089,1556356202.181411497,1556356202.185214558
1556356202.221095554,1556356202.214780561,1556356202.235215771
1556356202.287981979,1556356202.281494848,1556356202.285214067
1556356202.321497910,1556356202.314857475,1556356202.335210065
1556356202.388530008,1556356202.381602995,1556356202.385210709
1556356202.422045938,1556356202.414996616,1556356202.435209501
1556356202.489078037,1556356202.481709949,1556356202.485213143
1556356202.522619955,1556356202.515079967,1556356202.535209766
1556356202.589756243,1556356202.581846706,1556356202.585345604
1556356202.623285524,1556356202.615237228,1556356202.635210804
1556356202.690668814,1556356202.681976311,1556356202.685210865
1556356202.724233858,1556356202.715306036,1556356202.735212455
1556356202.791494362,1556356202.782041065,1556356202.785214331
1556356202.825010292,1556356202.815410130,1556356202.835210697
1556356202.892042629,1556356202.882146351,1556356202.885214518
1556356202.925558798,1556356202.915516369,1556356202.935210504
1556356202.992573730,1556356202.982256166,1556356202.985217419
1556356203.025787346,1556356203.015624992,1556356203.035215296
1556356203.092819206,1556356203.082360737,1556356203.085210200
1556356203.126637690,1556356203.115720026,1556356203.135216239
1556356203.193589203,1556356203.182455532,1556356203.185210263
1556356203.227105133,1556356203.215808861,1556356203.235212560
1556356203.294217817,1556356203.282525770,1556356203.285210508
1556356203.327733747,1556356203.315895788,1556356203.335216657
1556356203.394765846,1556356203.382633678,1556356203.385229873
1556356203.428201191,1556356203.416002743,1556356203.435215579
1556356203.495233290,1556356203.482755415,1556356203.485229136
1556356203.528749220,1556356203.516110651,1556356203.535212295
1556356203.596265070,1556356203.582863562,1556356203.585212695
1556356203.629297249,1556356203.616232626,1556356203.635210693
1556356203.696993343,1556356203.682947628,1556356203.685217413
1556356203.729785196,1556356203.716317646,1556356203.735222602
1556356203.796817057,1556356203.783072464,1556356203.785316990
1556356203.830367319,1556356203.816403858,1556356203.835217867
1556356203.898157589,1556356203.883142941,1556356203.885214677
1556356203.931673519,1556356203.916512005,1556356203.935208648
1556356203.998796694,1556356203.983250849,1556356203.985215833
1556356204.032312624,1556356204.016637318,1556356204.035210024
1556356204.099211447,1556356204.083375208,1556356204.085318346
1556356204.132727377,1556356204.116748325,1556356204.135215405
1556356204.199451439,1556356204.183503620,1556356204.185336399
1556356204.299999468,1556356204.283626310,1556356204.285302907
1556356204.333453648,1556356204.316995375,1556356204.335217428
1556356204.400485746,1556356204.383734457,1556356204.385303042
1556356204.434001677,1556356204.450468056,1556356204.435226498
1556356204.467517607,1556356204.483837120,1556356204.485217580
1556356204.534549706,1556356204.550563805,1556356204.535218636
1556356204.568127386,1556356204.583932869,1556356204.585327119
1556356204.635412447,1556356204.650668375,1556356204.635232229
1556356204.668928377,1556356204.684037439,1556356204.685321468
1556356204.735960476,1556356204.750739805,1556356204.735225776
1556356204.769476406,1556356204.784099571,1556356204.785229852
1556356204.836837999,1556356204.850847713,1556356204.835218967
1556356204.870024435,1556356204.884216778,1556356204.885223218
1556356204.937056295,1556356204.950991385,1556356204.935215980
1556356204.970243685,1556356204.984363787,1556356204.985249093
1556356205.037604324,1556356205.051124804,1556356205.035211164
1556356205.070791475,1556356205.084497683,1556356205.085487339
1556356205.137644522,1556356205.151235573,1556356205.135210408
1556356205.170790188,1556356205.184622519,1556356205.185346592
1556356205.239030115,1556356205.251369469,1556356205.235244743
1556356205.271357767,1556356205.284738295,1556356205.285229592
1556356205.339457981,1556356205.351520769,1556356205.335216999
1556356205.372973911,1556356205.384846441,1556356205.385245196
1556356205.439920418,1556356205.451559536,1556356205.435239591
1556356205.473436348,1556356205.484917156,1556356205.485520216
1556356205.540405981,1556356205.551654570,1556356205.535232759
1556356205.573921911,1556356205.585004084,1556356205.585215910
1556356205.640953772,1556356205.651711933,1556356205.635219467
1556356205.674469940,1556356205.685067169,1556356205.685217102
1556356205.740874998,1556356205.751806013,1556356205.735212676
1556356205.774391167,1556356205.785175077,1556356205.785257229
1556356205.841230623,1556356205.851903431,1556356205.835399188
1556356205.874746553,1556356205.885256044,1556356205.885314556
1556356205.941671602,1556356205.951993935,1556356205.935218270
1556356205.975187532,1556356205.985363953,1556356205.985215105
1556356206.042226545,1556356206.052064173,1556356206.035235474
1556356206.075842611,1556356206.085435144,1556356206.085214721
1556356206.142774574,1556356206.152163498,1556356206.135210252
1556356206.176290504,1556356206.185532324,1556356206.185216294
1556356206.243209116,1556356206.252260439,1556356206.235224185
1556356206.276725046,1556356206.285629503,1556356206.285218809
1556356206.343754761,1556356206.352367393,1556356206.335211510
1556356206.377270691,1556356206.385737411,1556356206.385210074
1556356206.444106810,1556356206.452475540,1556356206.435209386
1556356206.477622978,1556356206.485844366,1556356206.485213522
1556356206.544572823,1556356206.552573673,1556356206.535210787
1556356206.578069441,1556356206.585941784,1556356206.585221588
1556356206.645101301,1556356206.652680628,1556356206.635178931
1556356206.678617470,1556356206.686049454,1556356206.685215222
1556356206.745699160,1556356206.752788774,1556356206.735212365
1556356206.779266827,1556356206.786157839,1556356206.785213546
1556356206.846391670,1556356206.852895729,1556356206.835220281
1556356206.879907600,1556356206.886265747,1556356206.885218442
1556356206.947216026,1556356206.953004591,1556356206.935216189
1556356206.980731956,1556356206.986373655,1556356206.985305564
1556356207.047764055,1556356207.053111546,1556356207.035211216
1556356207.081279985,1556356207.086472504,1556356207.085216414
1556356207.147962324,1556356207.153210394,1556356207.135224876
1556356207.181478254,1556356207.186587326,1556356207.185212024
1556356207.248302452,1556356207.253306858,1556356207.235209853
1556356207.281818621,1556356207.286694281,1556356207.285213416
1556356207.315310471,1556356207.320064299,1556356207.335210560
1556356207.382366650,1556356207.386784069,1556356207.387873386
1556356207.415882580,1556356207.420171253,1556356207.435211730
1556356207.482922785,1556356207.486910336,1556356207.485688787
1556356207.516492121,1556356207.520279400,1556356207.535210796
1556356207.583544962,1556356207.587019436,1556356207.585214011
1556356207.617061131,1556356207.620388500,1556356207.635211377
1556356207.684082024,1556356207.687112562,1556356207.685216867
1556356207.717598192,1556356207.720496408,1556356207.736022836
1556356207.784634106,1556356207.787220709,1556356207.785219846
1556356207.818150036,1556356207.820554010,1556356207.835210751
1556356207.885139696,1556356207.887328617,1556356207.885215477
1556356207.918655626,1556356207.920697681,1556356207.935222444
1556356207.985687725,1556356207.987468235,1556356207.985210018
1556356208.019200317,1556356208.020855181,1556356208.035235884
1556356208.086235754,1556356208.087575190,1556356208.085214901
1556356208.119790070,1556356208.120945208,1556356208.135221768
1556356208.186856024,1556356208.187721483,1556356208.185212825
1556356208.220371954,1556356208.221488468,1556356208.235221403
1556356208.287404053,1556356208.288227551,1556356208.285302500
1556356208.320919983,1556356208.321596376,1556356208.335215375
1556356208.387991659,1556356208.387829296,1556356208.385212437
1556356208.421474449,1556356208.421190969,1556356208.435213068
1556356208.488506310,1556356208.487869732,1556356208.485211177
1556356208.522022478,1556356208.521230690,1556356208.535246902
1556356208.589047901,1556356208.587968819,1556356208.585209604
1556356208.622564070,1556356208.621337645,1556356208.635223829
1556356208.689602367,1556356208.688060514,1556356208.685214260
1556356208.723176710,1556356208.721429579,1556356208.735270647
1556356208.790371887,1556356208.788177959,1556356208.785246879
1556356208.824120037,1556356208.821547024,1556356208.835284791
1556356208.891449682,1556356208.888291828,1556356208.885432410
1556356208.924997084,1556356208.921670668,1556356208.935247556
1556356208.992278091,1556356208.988435738,1556356208.985638825
1556356209.025794022,1556356209.021804802,1556356209.035254481
1556356209.092577211,1556356209.088528149,1556356209.085248359
1556356209.126061670,1556356209.121921055,1556356209.135260901
1556356209.193081848,1556356209.188660137,1556356209.185211348
1556356209.226436131,1556356209.222028963,1556356209.235492513
1556356209.293467991,1556356209.288743250,1556356209.285216287
1556356209.326908819,1556356209.322108500,1556356209.335214048
1556356209.393777601,1556356209.388846390,1556356209.385211733
1556356209.427283041,1556356209.422215454,1556356209.435210365
1556356209.494325630,1556356209.488954536,1556356209.485257125
1556356209.527887337,1556356209.522328131,1556356209.535210662
1556356209.594967596,1556356209.589137547,1556356209.585209160
1556356209.628483526,1556356209.622520439,1556356209.635220019
1556356209.695467464,1556356209.689314835,1556356209.685657281
1556356209.728983395,1556356209.722711555,1556356209.735212867
1556356209.796063654,1556356209.789584867,1556356209.785215796
1556356209.829579584,1556356209.823011629,1556356209.835209048
1556356209.896808140,1556356209.889750711,1556356209.885209966
1556356209.930324070,1556356209.923119776,1556356209.935228064
1556356209.997356169,1556356209.989858620,1556356209.985208793
1556356210.030799620,1556356210.023169748,1556356210.035211456
1556356210.097769014,1556356210.089851372,1556356210.085243298
1556356210.131285183,1556356210.123081200,1556356210.135220442
1556356210.198379509,1556356210.189668648,1556356210.185219504
1556356210.231895678,1556356210.223037712,1556356210.235213427
1556356210.298927538,1556356210.289761297,1556356210.285210353
1556356210.332862370,1556356210.323130362,1556356210.335212614
1556356210.399831764,1556356210.389856331,1556356210.385210583
1556356210.433410398,1556356210.423236124,1556356210.435210195
1556356210.500379793,1556356210.489974253,1556356210.485214923
1556356210.533895723,1556356210.523333303,1556356210.535222968
1556356210.600652210,1556356210.590038530,1556356210.585223640
1556356210.634168140,1556356210.623407356,1556356210.635219926
1556356210.701078884,1556356210.690135471,1556356210.685218533
1556356210.734716169,1556356210.723512403,1556356210.735215232
1556356210.801583044,1556356210.790243380,1556356210.785232792
1556356210.834991924,1556356210.823612444,1556356210.835213117
1556356210.901906006,1556356210.890345327,1556356210.885210425
1556356210.935422174,1556356210.923709385,1556356210.935311748
1556356211.002454035,1556356210.990411274,1556356210.985209994
1556356211.036087982,1556356211.023780100,1556356211.035212459
1556356211.103245012,1556356211.090519182,1556356211.085213585
1556356211.137084715,1556356211.123888247,1556356211.135214533
1556356211.203799717,1556356211.190636627,1556356211.185214543
1556356211.237315647,1556356211.224005692,1556356211.235210603
1556356211.270831816,1556356211.290769808,1556356211.285212142
1556356211.338180773,1556356211.324122898,1556356211.335210540
1556356211.371696941,1556356211.390877716,1556356211.385216647
1556356211.438428633,1556356211.424246780,1556356211.435217685
1556356211.471927635,1556356211.490985624,1556356211.485210890
1556356211.538959734,1556356211.524354689,1556356211.535214661
1556356211.572105400,1556356211.591093771,1556356211.585211876
1556356211.639137499,1556356211.624452345,1556356211.635215046
1556356211.672536366,1556356211.691162340,1556356211.685210422
1556356211.739568464,1556356211.724525921,1556356211.735219982
1556356211.773201458,1556356211.791263811,1556356211.785211669
1556356211.840233557,1556356211.824639313,1556356211.835214643
1556356211.873858206,1556356211.891371958,1556356211.885212431
1556356211.940890066,1556356211.924732916,1556356211.935214916
1556356211.974406235,1556356211.991479866,1556356211.985215968
1556356212.041030161,1556356212.024848930,1556356212.035211293
1556356212.074546329,1556356212.091578953,1556356212.085213334
1556356212.141546719,1556356212.124945871,1556356212.135210982
1556356212.175062887,1556356212.191667072,1556356212.185250172
1556356212.241950981,1556356212.225031607,1556356212.235215494
1556356212.275453083,1556356212.291761868,1556356212.285772377
1556356212.342467300,1556356212.325130932,1556356212.335278501
1556356212.375893585,1556356212.391878597,1556356212.385396528
1556356212.442925684,1556356212.425247662,1556356212.435244446
1556356212.476531260,1556356212.491990082,1556356212.485243491
1556356212.543606989,1556356212.525360100,1556356212.535212298
1556356212.577122919,1556356212.592089407,1556356212.585234062
1556356212.644155018,1556356212.625450842,1556356212.635948349
1556356212.677670948,1556356212.692197315,1556356212.685233631
1556356212.744665615,1556356212.725568764,1556356212.735217142
1556356212.778181545,1556356212.792307846,1556356212.785214585
1556356212.845144503,1556356212.825676910,1556356212.835177869
1556356212.878660671,1556356212.892424576,1556356212.885212223
1556356212.945690863,1556356212.925794594,1556356212.935556933
1556356212.979207031,1556356212.992532484,1556356212.985323316
1556356213.046238892,1556356213.025901548,1556356213.035462622
1556356213.079756491,1556356213.092640631,1556356213.085213482
1556356213.146786921,1556356213.126009457,1556356213.135217253
1556356213.180304520,1556356213.192748539,1556356213.185209774
1556356213.213912956,1556356213.226106398,1556356213.235209782
1556356213.280944817,1556356213.292810194,1556356213.285212875
1556356213.314460985,1556356213.326171629,1556356213.335213043
1556356213.381492846,1556356213.392907373,1556356213.385215029
1556356213.414966337,1556356213.426276199,1556356213.435214352
1556356213.481945507,1556356213.493015282,1556356213.485210205
1556356213.515428535,1556356213.526386730,1556356213.535212798
1556356213.582447044,1556356213.593134157,1556356213.585220439
1556356213.615951530,1556356213.626509182,1556356213.635211532
1556356213.682976715,1556356213.693290941,1556356213.685224135
1556356213.716492645,1556356213.726660959,1556356213.735209987
1556356213.783543102,1556356213.793403856,1556356213.785232830
1556356213.817059032,1556356213.826772921,1556356213.835214165
1556356213.884086363,1556356213.893511765,1556356213.885219812
1556356213.917602531,1556356213.926923029,1556356213.935211797
1556356213.984643213,1556356213.993778221,1556356213.985215540
1556356214.018159382,1556356214.027147285,1556356214.035209362
1556356214.085182421,1556356214.093941919,1556356214.085217296
1556356214.118698589,1556356214.127298109,1556356214.135212690
1556356214.185730450,1556356214.194049828,1556356214.185215134
1556356214.219246380,1556356214.227459661,1556356214.235210767
1556356214.286266081,1556356214.294198744,1556356214.285213599
1556356214.319765322,1556356214.327567808,1556356214.335231384
1556356214.386814110,1556356214.394353621,1556356214.385212855
1556356214.420330040,1556356214.427722685,1556356214.435212763
1556356214.487362139,1556356214.494469635,1556356214.485212291
1556356214.520879023,1556356214.527783625,1556356214.535211226
1556356214.587994568,1556356214.594467155,1556356214.585575119
1556356214.621510736,1556356214.627641193,1556356214.635213205
1556356214.688542835,1556356214.694315426,1556356214.685214143
1556356214.722097628,1556356214.727664463,1556356214.735212289
1556356214.789129488,1556356214.794403545,1556356214.785216067
1556356214.822645657,1556356214.827771656,1556356214.835210264
1556356214.889576427,1556356214.894500725,1556356214.885220843
1556356214.923092596,1556356214.927870743,1556356214.935235343
1556356214.990120165,1556356214.994603626,1556356214.985210401
1556356215.023636095,1556356215.027967445,1556356215.035252692
1556356215.090602629,1556356215.094712965,1556356215.085215036
1556356215.124118559,1556356215.128082029,1556356215.135217838
1556356215.191216223,1556356215.194850437,1556356215.185213444
1556356215.224723570,1556356215.228219501,1556356215.235211829
1556356215.291755669,1556356215.294988148,1556356215.285223356
1556356215.325214617,1556356215.328358166,1556356215.335212313
1556356215.392303698,1556356215.395096056,1556356215.385214179
1556356215.425819628,1556356215.428465120,1556356215.435217109
1556356215.492868416,1556356215.495417587,1556356215.485213625
1556356215.526394121,1556356215.528786652,1556356215.535484633
1556356215.593425982,1556356215.595525496,1556356215.585228283
1556356215.626915686,1556356215.628772013,1556356215.635238115
1556356215.693947546,1556356215.695390455,1556356215.685241571
1556356215.727442495,1556356215.728760473,1556356215.735243729
1556356215.794474356,1556356215.795472614,1556356215.785220500
1556356215.828075878,1556356215.828841679,1556356215.835660494
1556356215.895136826,1556356215.895580523,1556356215.885212298
1556356215.928993694,1556356215.928949587,1556356215.935210935
1556356215.996025793,1556356215.995683901,1556356215.985209851
1556356216.029541723,1556356216.029052727,1556356216.035221004
1556356216.096573822,1556356216.095722191,1556356216.085249765
1556356216.130089752,1556356216.129068844,1556356216.135213821
1556356216.197121851,1556356216.195744507,1556356216.185218498
1556356216.230637781,1556356216.229113571,1556356216.235315543
1556356216.297601215,1556356216.295852654,1556356216.285211861
1556356216.331117146,1556356216.329233400,1556356216.335211849
1556356216.398144714,1556356216.395965330,1556356216.385223226
1556356216.431660883,1556356216.429336779,1556356216.435211910
